Squad,# Pl,Poss,90s,Touches,Def Pen,Def 3rd,Mid 3rd,Att 3rd,Att Pen,Live,Att,Succ,Succ%,Tkld,Tkld%,Carries,TotDist,PrgDist,PrgC,1/3,CPA,Mis,Dis,Rec,PrgR,season,scraped_date
Wolves,32,49.9,38.0,22539,2921,8544,9264,4960,686,22536,782,385,49.2,302,38.6,12374,67241,35071,610,421,142,516,326,14453,1332,2022-2023,2025-08-19
Arsenal,27,52.8,38.0,23780,2227,7151,10336,6491,982,23772,590,319,54.1,271,45.9,13993,73530,39388,734,494,223,557,337,16066,1642,2021-2022,2025-08-19
Aston Villa,31,46.5,38.0,20609,2411,6876,8896,5049,825,20606,587,333,56.7,254,43.3,11796,62511,31674,653,422,166,595,344,12668,1293,2021-2022,2025-08-19
Brentford,29,44.8,38.0,20462,2793,7862,8201,4566,819,20456,476,262,55.0,214,45.0,10280,49925,26085,450,332,102,563,291,11565,1170,2021-2022,2025-08-19
Brighton,26,54.4,38.0,24854,2629,8034,10520,6505,876,24847,559,317,56.7,242,43.3,13919,68537,35095,676,519,139,598,349,16278,1529,2021-2022,2025-08-19
Burnley,23,40.2,38.0,18371,2247,5842,8051,4686,663,18369,479,258,53.9,221,46.1,8229,42272,19061,388,300,84,540,291,9342,958,2021-2022,2025-08-19
Chelsea,26,61.8,38.0,28975,2279,7926,13385,7881,1066,28966,624,364,58.3,260,41.7,17090,86187,46504,894,729,243,591,383,21040,1956,2021-2022,2025-08-19
Crystal Palace,24,51.1,38.0,23466,2753,8764,9989,4943,749,23458,687,382,55.6,305,44.4,13129,65928,33176,592,410,149,671,471,14878,1214,2021-2022,2025-08-19
Everton,33,40.0,38.0,19075,2289,6394,7899,5013,728,19068,634,337,53.2,295,46.5,9422,53443,25599,512,388,143,640,325,10276,1086,2021-2022,2025-08-19
Leeds United,29,52.3,38.0,22705,2608,8521,9502,4919,789,22700,655,339,51.8,316,48.2,12260,67099,36354,671,412,170,676,298,13865,1467,2021-2022,2025-08-19
Leicester City,28,52.0,38.0,24409,2771,8575,11067,4962,746,24407,547,297,54.3,250,45.7,13897,68708,34763,622,467,157,601,368,16036,1351,2021-2022,2025-08-19
Liverpool,27,62.7,38.0,29575,2130,7195,14176,8419,1377,29567,635,343,54.0,291,45.8,17262,84190,45325,885,672,290,590,366,21042,2227,2021-2022,2025-08-19
Manchester City,26,67.9,38.0,31381,1837,6566,15281,9729,1499,31372,741,425,57.4,316,42.6,21064,110018,61200,1145,840,386,497,316,24212,2402,2021-2022,2025-08-19
Manchester Utd,29,52.7,38.0,24652,2256,7391,11141,6331,883,24647,631,368,58.3,263,41.7,13954,76394,41495,784,587,213,538,333,16590,1562,2021-2022,2025-08-19
Newcastle Utd,29,40.4,38.0,18281,2310,6731,7483,4314,727,18278,632,359,56.8,273,43.2,9243,50896,23964,544,397,163,622,359,10113,911,2021-2022,2025-08-19
Norwich City,28,42.9,38.0,20234,2911,8245,8047,4167,601,20231,581,298,51.3,283,48.7,11136,60854,30074,566,356,126,548,313,12047,1018,2021-2022,2025-08-19
Southampton,25,47.7,38.0,21418,2216,6541,9409,5713,830,21414,624,350,56.1,274,43.9,11085,62327,31425,728,561,197,626,366,12388,1314,2021-2022,2025-08-19
Tottenham,25,51.8,38.0,24853,2515,8010,11453,5627,864,24848,667,375,56.2,291,43.6,15122,82037,42338,791,596,195,588,341,17097,1450,2021-2022,2025-08-19
Watford,30,40.7,38.0,19161,2469,7245,7827,4328,625,19159,751,395,52.6,356,47.4,9426,51283,24863,557,380,148,639,389,10320,1057,2021-2022,2025-08-19
West Ham,25,47.9,38.0,22331,2444,7012,9992,5543,810,22325,545,306,56.1,239,43.9,12622,68100,32664,646,479,171,520,294,14229,1437,2021-2022,2025-08-19
Wolves,26,49.5,38.0,23334,2657,8472,10204,4887,703,23333,771,450,58.4,321,41.6,12837,69338,36188,723,522,190,598,341,15117,1262,2021-2022,2025-08-19
Arsenal,29,53.5,38.0,25431,2426,7970,11384,6240,910,25425,535,296,55.3,239,44.7,15532,83176,45081,758,499,195,511,260,17924,1748,2020-2021,2025-08-19
Aston Villa,24,48.5,38.0,21115,2579,6975,8614,5759,947,21109,595,369,62.0,223,37.5,11290,60377,30666,629,463,226,579,337,12834,1403,2020-2021,2025-08-19
Brighton,27,51.1,38.0,23756,2489,7928,10231,5828,885,23747,573,350,61.1,222,38.7,13491,73653,37608,685,468,131,549,306,15634,1495,2020-2021,2025-08-19
Burnley,25,42.1,38.0,19392,2181,5794,9081,4684,699,19389,403,234,58.1,170,42.2,9239,46385,20946,389,340,75,503,278,10755,1002,2020-2021,2025-08-19
